Severity,Finding,URL,CWE,Description,Solution
Medium,Content Security Policy (CSP) Header Not Set,http://127.0.0.1:34561/search?q=hello,CWE-693,"Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header."
Medium,Content Security Policy (CSP) Header Not Set,http://127.0.0.1:34561/search,CWE-693,"Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header."
Medium,Content Security Policy (CSP) Header Not Set,http://127.0.0.1:34561/user,CWE-693,"Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header."
Medium,Missing Anti-clickjacking Header,http://127.0.0.1:34561,CWE-1021,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,"Modern Web browsers support the Content-Security-Policy and X-Frame-Options HTTP headers. Ensure one of them is set on all web pages returned by your site/app.
If you expect the page to be framed only by pages on your server (e.g. it's part of a FRAMESET) then you'll want to use SAMEORIGIN, otherwise if you never expect the page to be framed, you should use DENY. Alternatively consider implementing Content Security Policy's ""frame-ancestors"" directive."
Medium,Missing Anti-clickjacking Header,http://127.0.0.1:34561/login,CWE-1021,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,"Modern Web browsers support the Content-Security-Policy and X-Frame-Options HTTP headers. Ensure one of them is set on all web pages returned by your site/app.
If you expect the page to be framed only by pages on your server (e.g. it's part of a FRAMESET) then you'll want to use SAMEORIGIN, otherwise if you never expect the page to be framed, you should use DENY. Alternatively consider implementing Content Security Policy's ""frame-ancestors"" directive."
Medium,Missing Anti-clickjacking Header,http://127.0.0.1:34561/user?id=1,CWE-1021,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,"Modern Web browsers support the Content-Security-Policy and X-Frame-Options HTTP headers. Ensure one of them is set on all web pages returned by your site/app.
If you expect the page to be framed only by pages on your server (e.g. it's part of a FRAMESET) then you'll want to use SAMEORIGIN, otherwise if you never expect the page to be framed, you should use DENY. Alternatively consider implementing Content Security Policy's ""frame-ancestors"" directive."
Medium,Missing Anti-clickjacking Header,http://127.0.0.1:34561/search?q=hello,CWE-1021,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,"Modern Web browsers support the Content-Security-Policy and X-Frame-Options HTTP headers. Ensure one of them is set on all web pages returned by your site/app.
If you expect the page to be framed only by pages on your server (e.g. it's part of a FRAMESET) then you'll want to use SAMEORIGIN, otherwise if you never expect the page to be framed, you should use DENY. Alternatively consider implementing Content Security Policy's ""frame-ancestors"" directive."
Medium,Missing Anti-clickjacking Header,http://127.0.0.1:34561/search,CWE-1021,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,"Modern Web browsers support the Content-Security-Policy and X-Frame-Options HTTP headers. Ensure one of them is set on all web pages returned by your site/app.
If you expect the page to be framed only by pages on your server (e.g. it's part of a FRAMESET) then you'll want to use SAMEORIGIN, otherwise if you never expect the page to be framed, you should use DENY. Alternatively consider implementing Content Security Policy's ""frame-ancestors"" directive."
Medium,Missing Anti-clickjacking Header,http://127.0.0.1:34561/user,CWE-1021,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,"Modern Web browsers support the Content-Security-Policy and X-Frame-Options HTTP headers. Ensure one of them is set on all web pages returned by your site/app.
If you expect the page to be framed only by pages on your server (e.g. it's part of a FRAMESET) then you'll want to use SAMEORIGIN, otherwise if you never expect the page to be framed, you should use DENY. Alternatively consider implementing Content Security Policy's ""frame-ancestors"" directive."
Low,Cookie No HttpOnly Flag,http://127.0.0.1:34561/login,CWE-1004,"A cookie has been set without the HttpOnly flag, which means that the cookie can be accessed by JavaScript. If a malicious script can be run on this page then the cookie will be accessible and can be transmitted to another site. If this is a session cookie then session hijacking may be possible.",Ensure that the HttpOnly flag is set for all cookies.
Low,Cookie without SameSite Attribute,http://127.0.0.1:34561/login,CWE-1275,"A cookie has been set without the SameSite attribute, which means that the cookie can be sent as a result of a 'cross-site' request. The SameSite attribute is an effective counter measure to cross-site request forgery, cross-site script inclusion, and timing attacks.",Ensure that the SameSite attribute is set to either 'lax' or ideally 'strict' for all cookies.
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/robots.txt,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/sitemap.xml,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/user?id=1,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/search,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/search?q=hello,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/login,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
Low,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",http://127.0.0.1:34561/user,CWE-497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.","Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details."
